No. Cuenta,Ap_P,Ap_M,Nombre,Edad,Correo,Semestre,MateriaA,MateriaB,MateriaC,MateriaD,MateriaE,Promedio
725010982,MONCADA,RAMOS,MARIO,17,moncadamario94@aragon.unam.mx,6,PROBABILIDAD Y ESTADISTICA,OPTATIVA,EMPRENDMIENTO 1,CALCULO VECTORIAL,OPTATIVA,8.61
973772287,MONTERRUBI,PRIA,EMILIANO,27,monterrubiemiliano54@aragon.unam.mx,1,MATEMATICAS DISCRETAS,LENGUAJES FORMALES-AUTOMATAS,EMPRENDMIENTO 1,INTELIGENCIA ARTIFICIAL,DISEÑO LOGICO,9.76
413707525,MORENO,BALLINAS,TERESA,28,morenoteresa15@aragon.unam.mx,1,REDES DE COMPUTADORAS 1,COMUNICACION,ECUACIONES DIFERENCIALES,ALGEBRA,SISTEMAS DE INFORMACION,6.73
648889639,NAVA,RUEDA,LOURDES IVETT,18,navalourdes ivett19@aragon.unam.mx,1,CALCULO DIFERENCIAL E INTEGRAL,CALCULO DIFERENCIAL E INTEGRAL,HABILIDADES DIRECTIVAS,HABILIDADES DIRECTIVAS,BASES DE DATOS 2,7.82
883450627,OLEA,FALOMIR,MIGUEL ANGEL,20,oleamiguel angel84@aragon.unam.mx,5,BASES DE DATOS 2,OPTATIVA,OPTATIVA,INGENIERIA DE SOFTWARE,CALCULO DIFERENCIAL E INTEGRAL,9.35
808690106,OROZCO,VAZQUEZ,NIURKA,24,orozconiurka44@aragon.unam.mx,9,CALCULO VECTORIAL,PROGRAMACION WEB 2,REDES DE COMPUTADORAS 2,OPTATIVA,ECUACIONES DIFERENCIALES,5.43
385096746,OROZCO,ROMERO,ANEL MAR,26,orozcoanel mar10@aragon.unam.mx,2,GEOMETRIA ANALITICA,ALGEBRA,OPTATIVA,PROGRAMACION WEB 2,OPTATIVA,5.71
720494419,PEIMBERT,YAÑEZ,ALEJANDRO,17,peimbertalejandro1@aragon.unam.mx,4,OPTATIVA,DISPOSITIVOS ELECTRONICOS,DISEÑO LOGICO,EMPRENDMIENTO 1,OPTATIVA,9.34
246581304,PEREZ,CHIQUES,ELIZABETH,27,perezelizabeth44@aragon.unam.mx,3,MATEMATICAS DISCRETAS,OPTATIVA,BASES DE DATOS 1,TALLER DE CREATIVIDAD E INNOVACION,OPTATIVA,6.48
187842077,RAMIREZ,RUEDA,RAFAEL,27,ramirezrafael43@aragon.unam.mx,9,PROGRAMACION WEB 2,PROGRAMACION WEB 1,OPTATIVA,PROGRAMACION ORIENTADA A OBJETOS,ELECTRICIDAD Y MAGNETISMO,8.91
793587704,REYGADAS,SEYFFERT,SALVADOR,29,reygadassalvador63@aragon.unam.mx,3,INTROD A ALA INGENIER COMPUTACION,BASES DE DATOS 2,ESTRUCTURA DE DATOS,REDES DE COMPUTADORAS 2,PROGRAMACION ORIENTADA A OBJETOS,7.92
238908169,RODRIGUEZ,VERASTEGUI,ROBERTO,25,rodriguezroberto98@aragon.unam.mx,4,PROGRAMACION ORIENTADA A OBJETOS,TALLER DE CREATIVIDAD E INNOVACION,CALCULO DIFERENCIAL E INTEGRAL,ALEGBRA LINEAL,OPTATIVA,9.57
952611060,ROMUALDO,RAMOS,CAROLINA,26,romualdocarolina86@aragon.unam.mx,5,EMPRENDMIENTO 1,OPTATIVA,DISEÑO LOGICO,PROBABILIDAD Y ESTADISTICA,DISEÑO DE SISTEMAS DIGITALES,8.84
665239980,RUIZ,MARTINEZ,OLIVIA,28,ruizolivia100@aragon.unam.mx,9,OPTATIVA,DISEÑO LOGICO,DISEÑO LOGICO,PROGRAMACION ORIENTADA A OBJETOS,REDES DE COMPUTADORAS 2,5.91
862925767,SANCHEZ,DIEGUEZ,CARMEN,29,sanchezcarmen28@aragon.unam.mx,5,OPTATIVA,DISPOSITIVOS ELECTRONICOS,ESTRUCTURA DE DATOS,BASES DE DATOS 1,EMPRENDMIENTO 1,5.46
596961184,SERRATOS,ROMERO,MARIA,25,serratosmaria21@aragon.unam.mx,7,PROBABILIDAD Y ESTADISTICA,COMPUTADORAS Y PROGRAMACION,PROGRAMACION WEB 1,DISEÑO LOGICO,EMPRENDMIENTO 1,8.53
628857885,SOSA,CORTES,ARACELI,21,sosaaraceli67@aragon.unam.mx,1,ESTRUCTURA DE DATOS,LENGUAJES FORMALES-AUTOMATAS,INTROD A ALA INGENIER COMPUTACION,ESTRUCTURA DE DATOS,OPTATIVA,5.01
509230040,SOTO,CARRASCO,ANTONIO,25,sotoantonio57@aragon.unam.mx,4,DISEÑO DE SISTEMAS DIGITALES,BASES DE DATOS 2,TALLER DE CREATIVIDAD E INNOVACION,DISEÑO LOGICO,CALCULO DIFERENCIAL E INTEGRAL,9.37
187450311,SULKIN,MARTINEZ,MANUEL,23,sulkinmanuel42@aragon.unam.mx,3,ECUACIONES DIFERENCIALES,REDES DE COMPUTADORAS 2,DISEÑO LOGICO,PROGRAMACION ORIENTADA A OBJETOS,MINERIA DE DATOS,8.91
435979531,ZORRILLA,RODRIGUEZ,FRANCISCO,26,zorrillafrancisco40@aragon.unam.mx,9,METODOS NUMERICOS,COMPILADORES,PROBABILIDAD Y ESTADISTICA,REDES DE COMPUTADORAS 1,COMPUTADORAS Y PROGRAMACION,9.12
927705420,HERNANDEZ,MORALES,MARIA,29,hernandezmaria92@aragon.unam.mx,6,SEGURIDAD INFORMATICA,REDES DE COMPUTADORAS 2,SEGURIDAD INFORMATICA,PROGRAMACION ORIENTADA A OBJETOS,PROGRAMACION MOVIL 1,10
973544654,GARCIA,VAZQUEZ,JOSE,25,garciajose11@aragon.unam.mx,9,MICROPROCESAROR Y MICROCONTROLAD,ESTRUCTURA DE DATOS,OPTATIVA,DISEÑO DE SISTEMAS DIGITALES,DISEÑO LOGICO,9.5
681071799,MARTINEZ,REYES,JUAN,20,martinezjuan32@aragon.unam.mx,7,PROGRAMACION ORIENTADA A OBJETOS,DISEÑO LOGICO,OPTATIVA,GEOMETRIA ANALITICA,PROGRAMACION MOVIL 1,7.46
742514578,LOPEZ,JIMENEZ,LUIS,28,lopezluis32@aragon.unam.mx,7,SISTEMAS DE INFORMACION,ELECTRICIDAD Y MAGNETISMO,EMPRENDIMIENTO 2,PROBABILIDAD Y ESTADISTICA,MINERIA DE DATOS,5.35
766015532,GONZALEZ,TORRES,FRANCISCO,17,gonzalezfrancisco40@aragon.unam.mx,1,OPTATIVA,ESTRUCTURA DE DATOS,OPTATIVA,SEGURIDAD INFORMATICA,CALCULO VECTORIAL,7.8
314448535,PEREZ,DIAZ,JESUS,24,perezjesus33@aragon.unam.mx,6,LENGUAJES FORMALES-AUTOMATAS,LENGUAJES FORMALES-AUTOMATAS,OPTATIVA,EMPRENDMIENTO 1,TALLER DE CREATIVIDAD E INNOVACION,5.75
311725076,RODRIGUEZ,GUTIERREZ,ANA,28,rodriguezana24@aragon.unam.mx,7,OPTATIVA,ELECTRICIDAD Y MAGNETISMO,OPTATIVA,OPTATIVA,HABILIDADES DIRECTIVAS,8.08
840095799,SANCHEZ,RUIZ,ROSA,23,sanchezrosa62@aragon.unam.mx,8,MINERIA DE DATOS,OPTATIVA,TALLER DE CREATIVIDAD E INNOVACION,INTROD A ALA INGENIER COMPUTACION,METODOS NUMERICOS,7.08
830377634,RAMIREZ,MENDOZA,JORGE,29,ramirezjorge58@aragon.unam.mx,5,OPTATIVA,INTELIGENCIA ARTIFICIAL,INTROD A ALA INGENIER COMPUTACION,SEGURIDAD INFORMATICA,EMPRENDIMIENTO 2,5.7
815791180,CRUZ,AGUILAR,MIGUEL,19,cruzmiguel91@aragon.unam.mx,8,DISEÑO DE SISTEMAS DIGITALES,DISPOSITIVOS ELECTRONICOS,CALCULO VECTORIAL,BASES DE DATOS 2,HABILIDADES DIRECTIVAS,9.28
120425129,FLORES,ORTIZ,CARLOS,22,florescarlos92@aragon.unam.mx,5,INTROD A ALA INGENIER COMPUTACION,LENGUAJES FORMALES-AUTOMATAS,PROGRAMACION WEB 1,LENGUAJES FORMALES-AUTOMATAS,LENGUAJES FORMALES-AUTOMATAS,6.14
918082564,GOMEZ,MORENO,JUANA,18,gomezjuana13@aragon.unam.mx,1,PROGRAMACION WEB 1,METODOS NUMERICOS,OPTATIVA,OPTATIVA,BASES DE DATOS 2,8.54
775244959,MORALES,CASTILLO,MARTHA,22,moralesmartha26@aragon.unam.mx,7,DISEÑO LOGICO,INTROD A ALA INGENIER COMPUTACION,OPTATIVA,SISTEMAS OPERATIVOS,ADMINISTRACION DE PROYECTOS,8.3
115587086,VAZQUEZ,ROMERO,GUADALUPE,27,vazquezguadalupe97@aragon.unam.mx,9,PROGRAMACION ORIENTADA A OBJETOS,COMPILADORES,REDES DE COMPUTADORAS 2,EMPRENDIMIENTO 3,PROGRAMACION MOVIL 1,5.55
440640185,REYES,ALVAREZ,PEDRO,24,reyespedro62@aragon.unam.mx,9,REDES DE COMPUTADORAS 1,INTROD A ALA INGENIER COMPUTACION,CALCULO VECTORIAL,EMPRENDIMIENTO 3,INGENIERIA DE SOFTWARE,8.15
382969318,JIMENEZ,MENDEZ,MANUEL,17,jimenezmanuel85@aragon.unam.mx,3,BASES DE DATOS 1,OPTATIVA,MATEMATICAS DISCRETAS,CALCULO DIFERENCIAL E INTEGRAL,EMPRENDMIENTO 1,8.66
559552065,TORRES,CHAVEZ,VICTOR,22,torresvictor97@aragon.unam.mx,6,CALCULO VECTORIAL,CALCULO VECTORIAL,ALEGBRA LINEAL,SEGURIDAD INFORMATICA,DISEÑO DE SISTEMAS DIGITALES,6.02
613539949,DIAZ,RIVERA,ANTONIO,21,diazantonio16@aragon.unam.mx,1,MICROPROCESAROR Y MICROCONTROLAD,BASES DE DATOS 2,OPTATIVA,GEOMETRIA ANALITICA,REDES DE COMPUTADORAS 2,6.17
675201301,GUTIERREZ,HERNANDEZ,ALEJANDRO,20,gutierrezalejandro10@aragon.unam.mx,1,REDES DE COMPUTADORAS 2,COMUNICACION,OPTATIVA,OPTATIVA,EMPRENDIMIENTO 3,7.35
759852766,RUIZ,GARCIA,MARGARITA,23,ruizmargarita81@aragon.unam.mx,8,REDES DE COMPUTADORAS 2,PROGRAMACION WEB 1,ADMINISTRACION DE PROYECTOS,MATEMATICAS DISCRETAS,MICROPROCESAROR Y MICROCONTROLAD,8.12
305083861,MENDOZA,MARTINEZ,MARIO,21,mendozamario42@aragon.unam.mx,6,REDES DE COMPUTADORAS 2,OPTATIVA,COMPILADORES,INTROD A ALA INGENIER COMPUTACION,PROGRAMACION ORIENTADA A OBJETOS,6.41
836624001,AGUILAR,LOPEZ,ROBERTO,17,aguilarroberto87@aragon.unam.mx,6,LENGUAJES FORMALES-AUTOMATAS,METODOS NUMERICOS,ECUACIONES DIFERENCIALES,OPTATIVA,PROGRAMACION MOVIL 1,5.06
974611076,ORTIZ,GONZALEZ,CLAUDIA,25,ortizclaudia61@aragon.unam.mx,8,PROGRAMACION WEB 1,EMPRENDMIENTO 1,DISEÑO DE SISTEMAS DIGITALES,LENGUAJES FORMALES-AUTOMATAS,SISTEMAS DE INFORMACION,8.76
952564046,MORENO,PEREZ,LAURA,22,morenolaura27@aragon.unam.mx,7,OPTATIVA,INTROD A ALA INGENIER COMPUTACION,SISTEMAS OPERATIVOS,INTELIGENCIA ARTIFICIAL,MICROPROCESAROR Y MICROCONTROLAD,5.34
780877771,CASTILLO,RODRIGUEZ,RICARDO,20,castilloricardo26@aragon.unam.mx,3,REDES DE COMPUTADORAS 1,OPTATIVA,ECUACIONES DIFERENCIALES,OPTATIVA,OPTATIVA,8.8
470701601,ROMERO,SANCHEZ,FERNANDO,26,romerofernando10@aragon.unam.mx,6,DISPOSITIVOS ELECTRONICOS,PROGRAMACION ORIENTADA A OBJETOS,OPTATIVA,PROBABILIDAD Y ESTADISTICA,REDES DE COMPUTADORAS 2,5.26
340158871,ALVAREZ,RAMIREZ,JAVIER,30,alvarezjavier65@aragon.unam.mx,2,INGENIERIA DE SOFTWARE,MATEMATICAS DISCRETAS,COMPILADORES,BASES DE DATOS 1,MINERIA DE DATOS,5.64
241594996,MENDEZ,CRUZ,SERGIO,21,mendezsergio5@aragon.unam.mx,1,OPTATIVA,BASES DE DATOS 1,COMPILADORES,DISEÑO DE SISTEMAS DIGITALES,MICROPROCESAROR Y MICROCONTROLAD,5.04
765617184,CHAVEZ,FLORES,MARTIN,28,chavezmartin12@aragon.unam.mx,9,METODOS NUMERICOS,OPTATIVA,TALLER DE CREATIVIDAD E INNOVACION,SISTEMAS DE INFORMACION,OPTATIVA,7.73
220231276,RIVERA,GOMEZ,VERONICA,29,riveraveronica89@aragon.unam.mx,6,PROGRAMACION WEB 1,REDES DE COMPUTADORAS 2,ALEGBRA LINEAL,OPTATIVA,BASES DE DATOS 1,8.76
396996905,ROMERO,GOMEZ,SERRATOS,19,serratosgomez50@aragon.unam.mx,6,OPTATIVA,PROGRAMACION WEB 2,ELECTRICIDAD Y MAGNETISMO,ADMINISTRACION DE PROYECTOS,ECUACIONES DIFERENCIALES,6.69
555589506,ALVAREZ,CASTILLO,MELANIE,25,melaniecastillo36@aragon.unam.mx,9,PROGRAMACION MOVIL 1,OPTATIVA,DISPOSITIVOS ELECTRONICOS,REDES DE COMPUTADORAS 2,TALLER DE CREATIVIDAD E INNOVACION,9.31
324628451,TORRES,VELEZ,RICARDO,27,ricardovelez90@aragon.unam.mx,7,ALEGBRA LINEAL,MINERIA DE DATOS,TALLER DE CREATIVIDAD E INNOVACION,PROGRAMACION MOVIL 1,OPTATIVA,7.67
308914097,CASTILLO,DOMINGUEZ,CONSTANZA,18,constanzadominguez17@aragon.unam.mx,2,PROGRAMACION ORIENTADA A OBJETOS,SISTEMAS OPERATIVOS,COMPUTADORAS Y PROGRAMACION,GEOMETRIA ANALITICA,PROGRAMACION ORIENTADA A OBJETOS,5.78
983535207,PASTRANA,IGLESIAS,MATIAS,17,matiasiglesias23@aragon.unam.mx,3,MICROPROCESAROR Y MICROCONTROLAD,ALGEBRA,OPTATIVA,GEOMETRIA ANALITICA,ELECTRICIDAD Y MAGNETISMO,8.22
739407780,GARZA,PULIDO,OCTAVIO,28,octaviopulido11@aragon.unam.mx,7,OPTATIVA,ESTRUCTURA DE DATOS,ESTRUCTURA DE DATOS,SEGURIDAD INFORMATICA,REDES DE COMPUTADORAS 1,9.47
898224832,GUERRERO,SANTOS,EMILIANO,24,emilianosantos75@aragon.unam.mx,7,DISEÑO DE SISTEMAS DIGITALES,CALCULO VECTORIAL,OPTATIVA,MINERIA DE DATOS,PROBABILIDAD Y ESTADISTICA,9.34
295730274,GALINDO,MARQUEZ,MOCTEZUMA OSVALDO,17,moctezuma osvaldomarquez23@aragon.unam.mx,2,SISTEMAS DE INFORMACION,OPTATIVA,SISTEMAS DE INFORMACION,EMPRENDIMIENTO 3,PROGRAMACION MOVIL 1,9.98
521973241,RIVERA,SANDOVAL,DIEGO DOMINGO,28,diego domingosandoval34@aragon.unam.mx,6,INTELIGENCIA ARTIFICIAL,HABILIDADES DIRECTIVAS,REDES DE COMPUTADORAS 2,PROGRAMACION ORIENTADA A OBJETOS,REDES DE COMPUTADORAS 1,7.71
329448718,SALAZAR,FORTIS,GUSTAVO,30,gustavofortis26@aragon.unam.mx,9,PROGRAMACION WEB 2,GEOMETRIA ANALITICA,EMPRENDIMIENTO 2,MINERIA DE DATOS,METODOS NUMERICOS,8.88
433455701,GONZALEZ,PINTO,CLAUDIA,25,claudiapinto44@aragon.unam.mx,3,METODOS NUMERICOS,PROGRAMACION ORIENTADA A OBJETOS,EMPRENDIMIENTO 2,OPTATIVA,GEOMETRIA ANALITICA,6.42
216637923,GUTIERREZ,VELAZQUEZ,JUAN MANUEL,21,juan manuelvelazquez77@aragon.unam.mx,9,MATEMATICAS DISCRETAS,METODOS NUMERICOS,DISEÑO Y ANALISIS DE ALGORITMOS,CALCULO VECTORIAL,EMPRENDMIENTO 1,5.58
955614435,FERNANDEZ,JUAREZ,RENATA,30,renatajuarez57@aragon.unam.mx,3,SEGURIDAD INFORMATICA,EMPRENDMIENTO 1,REDES DE COMPUTADORAS 2,PROGRAMACION WEB 1,SEGURIDAD INFORMATICA,8.47
396388658,ROJAS,VARGAS,LETICIA,17,leticiavargas35@aragon.unam.mx,8,PROGRAMACION WEB 2,OPTATIVA,METODOS NUMERICOS,OPTATIVA,DISEÑO DE SISTEMAS DIGITALES,7.65
274807778,AGUILAR,PEÑA,DAVID,25,davidpeña62@aragon.unam.mx,4,ELECTRICIDAD Y MAGNETISMO,LENGUAJES FORMALES-AUTOMATAS,PROGRAMACION MOVIL 1,DISEÑO Y ANALISIS DE ALGORITMOS,EMPRENDMIENTO 1,7.06
914166899,FLORES,ESPINOSA,RODRIGO,20,rodrigoespinosa83@aragon.unam.mx,4,HABILIDADES DIRECTIVAS,INGENIERIA DE SOFTWARE,PROGRAMACION WEB 1,ALEGBRA LINEAL,TALLER DE CREATIVIDAD E INNOVACION,8.75
194199052,GARCIA,HURTADO,LUNA,27,lunahurtado11@aragon.unam.mx,9,ELECTRICIDAD Y MAGNETISMO,DISEÑO Y ANALISIS DE ALGORITMOS,PROGRAMACION MOVIL 1,SISTEMAS OPERATIVOS,REDES DE COMPUTADORAS 1,9.78
100972460,HINOJOSA,CARDENAS,JUAN CARLOS,22,juan carloscardenas8@aragon.unam.mx,2,REDES DE COMPUTADORAS 1,BASES DE DATOS 1,BASES DE DATOS 1,ESTRUCTURA DE DATOS,OPTATIVA,8.63
532501309,VILLA,TORRES,FRANCISCO,22,franciscotorres2@aragon.unam.mx,6,DISEÑO DE SISTEMAS DIGITALES,PROBABILIDAD Y ESTADISTICA,SEGURIDAD INFORMATICA,OPTATIVA,METODOS NUMERICOS,6.65
492662212,MENDEZ,HERNANDEZ,MANUEL,22,manuelhernandez48@aragon.unam.mx,1,COMUNICACION,ALGEBRA,GEOMETRIA ANALITICA,EMPRENDMIENTO 1,DISEÑO DE SISTEMAS DIGITALES,6.4
285735692,NUÑEZ,PIMENTO,ADRIAN,35,adrianpimento11@aragon.unam.mx,6,CALCULO VECTORIAL,COMPUTADORAS Y PROGRAMACION,SEGURIDAD INFORMATICA,TALLER DE CREATIVIDAD E INNOVACION,DISEÑO Y ANALISIS DE ALGORITMOS,8.9
